Designator,Mid X,Mid Y,Rotation,Layer
C1,115.325,-37.12,90.0,top
C10,115.35,-34.9,90.0,top
C11,114.975,-46.975,0.0,top
C12,107.4,-33.55,180.0,top
C13,115.125,-31.5,135.0,top
C14,119.925,-37.775,0.0,top
C15,105.4,-43.925,180.0,top
C16,107.8,-47.925,270.0,top
C17,109.925,-32.425,90.0,top
C18,119.775,-49.05,180.0,top
C2,116.95,-37.925,0.0,top
C3,117.475,-38.925,0.0,top
C4,117.125,-42.775,90.0,top
C5,114.775,-48.525,270.0,top
C6,106.864411,-42.489411,135.0,top
C7,107.095,-39.8,180.0,top
C8,103.695,-38.225,180.0,top
C9,108.4,-32.375,135.0,top
D1,112.275001,-51.79,0.0,top
J1,112.275001,-25.225,180.0,top
R1,115.85,-48.725,270.0,top
R3,112.7,-35.475,270.0,top
R4,113.7,-35.475,270.0,top
R5,109.45,-47.625,0.0,top
R6,107.4,-49.475,0.0,top
R7,108.05,-37.95,225.0,top
SW1,105.812501,-51.79,0.0,top
SW2,118.737502,-51.79,0.0,top
U1,112.187501,-32.325,90.0,top
U2,112.275001,-42.295,90.0,top
U4,105.6,-36.2425,180.0,top
U5,117.9,-35.225,90.0,top
Y1,105.4,-46.55,90.0,top
